Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"M5048.Alarm.NoRead","DB50.DBX1423.1",Boolean,1,RO,100,,,,,,,,,,"M5048条码未读出",
"M5048.Alarm.OutSideFault","DB70.DBX95.1",Boolean,1,RO,100,,,,,,,,,,"M5048货物超边故障",
"M5048.Alarm.PH_Fault","DB70.DBX94.6",Boolean,1,RO,100,,,,,,,,,,"M5048光电管异常",
"M5048.Alarm.QF_Fault","DB70.DBX94.4",Boolean,1,RO,100,,,,,,,,,,"M5048空开故障",
"M5048.Alarm.QS_Fault","DB70.DBX94.5",Boolean,1,RO,100,,,,,,,,,,"M5048隔离开关故障",
"M5048.Alarm.R_Fault","DB50.DBX1422.6",Boolean,1,RO,100,,,,,,,,,,"M5048右超宽",
"M5048.Alarm.RFID_ReadFault","DB50.DBX1423.3",Boolean,1,RO,100,,,,,,,,,,"M5048RFID读取错误",
"M5048.Alarm.RFID_WriteFault","DB50.DBX1423.2",Boolean,1,RO,100,,,,,,,,,,"M5048RFID写入错误",
"M5048.Alarm.TimeOutFault","DB70.DBX94.3",Boolean,1,RO,100,,,,,,,,,,"M5048超时故障",
"M5048.Alarm.TM_JY_Fault","DB50.DBX1423.0",Boolean,1,RO,100,,,,,,,,,,"M5048条码校验故障",
"M5048.Alarm.TotalFault","DB70.DBX94.1",Boolean,1,RO,100,,,,,,,,,,"M5048总故障",
"M5048.Alarm.WX_Fault","DB50.DBX1422.1",Boolean,1,RO,100,,,,,,,,,,"M5048外形故障",
"M5048.Alarm.WX_TM_Fault","DB50.DBX1422.0",Boolean,1,RO,100,,,,,,,,,,"M5048外形条码总故障",
"M5048.State.Allow","DB50.DBB1429",Byte,1,RO,100,,,,,,,,,,"M5048允许拆盘",
"M5048.State.ForwardRun","DB70.DBX95.6",Boolean,1,RO,100,,,,,,,,,,"M5048正转运行",
"M5048.State.Get_Num","DB50.DBB1428",Byte,1,RO,100,,,,,,,,,,"M5048已取数量",
"M5048.State.LastOne","DB50.DBX1423.4",Boolean,1,RO,100,,,,,,,,,,"M5048强制推盘",
"M5048.State.Load","DB70.DBX95.5",Boolean,1,RO,100,,,,,,,,,,"M5048负载",
"M5048.State.M5048_DOWN","Q37.2",Boolean,1,RO,100,,,,,,,,,,"5048气缸下降",
"M5048.State.M5048_UP","Q37.0",Boolean,1,RO,100,,,,,,,,,,"5048气缸上升",
"M5048.State.MD_State1","DB50.DINT1430",Long,1,RO,100,,,,,,,,,,"M5048码垛状态1",
"M5048.State.MD_State2","DB50.DBB1434",Byte,1,RO,100,,,,,,,,,,"M5048码垛状态2",
